Ipopt 3.13.4: 

******************************************************************************
This program contains Ipopt, a library for large-scale nonlinear optimization.
 Ipopt is released as open source code under the Eclipse Public License (EPL).
         For more information visit https://github.com/coin-or/Ipopt
******************************************************************************

This is Ipopt version 3.13.4, running with linear solver ma27.

Number of nonzeros in equality constraint Jacobian...:     9319
Number of nonzeros in inequality constraint Jacobian.:    31040
Number of nonzeros in Lagrangian Hessian.............:     7180

Total number of variables............................:     3109
                     variables with only lower bounds:        0
                variables with lower and upper bounds:     2527
                     variables with only upper bounds:        0
Total number of equality constraints.................:     2528
Total number of inequality constraints...............:     6208
        inequality constraints with only lower bounds:     6208
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 118  3.2258182e+01 1.07e-02 6.11e-02  -1.4 9.50e+00    -  1.00e+00 1.00e+00h  1
 119  3.2258896e+01 9.02e-03 5.22e-02  -1.4 1.38e+01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  3.2252871e+01 4.68e-03 8.94e-02  -1.4 9.13e+00    -  1.00e+00 1.00e+00h  1
 121  2.9589567e+01 1.73e-02 1.69e+00  -7.4 8.61e+00    -  5.03e-01 1.00e+00h  1
 122  2.9141035e+01 3.93e-02 6.77e-02  -1.8 1.68e+01    -  1.00e+00 1.00e+00h  1
 123  2.9001283e+01 8.12e-03 4.90e-02  -1.8 1.10e+01    -  1.00e+00 1.00e+00h  1
 124  2.8883226e+01 2.24e-02 1.44e-01  -1.8 1.41e+01    -  6.96e-01 1.00e+00h  1
 125  2.8785802e+01 1.24e-02 6.92e-02  -1.8 1.62e+01    -  5.56e-01 1.00e+00h  1
 126  2.8761879e+01 1.74e-02 8.31e-02  -1.8 1.26e+01    -  9.06e-01 1.00e+00h  1
 127  2.8686736e+01 1.59e-02 1.30e-01  -1.8 1.33e+01    -  7.60e-01 1.00e+00h  1
 128  2.8597717e+01 1.99e-02 4.27e-02  -1.8 2.06e+01    -  8.15e-01 1.00e+00h  1
 129  2.8582140e+01 1.64e-02 8.61e-02  -1.8 1.21e+01    -  9.94e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  2.8535895e+01 1.46e-02 1.25e-01  -1.8 1.25e+01    -  7.55e-01 1.00e+00h  1
 131  2.8477280e+01 2.02e-02 4.24e-02  -1.8 2.00e+01    -  1.00e+00 1.00e+00h  1
 132  2.8456256e+01 1.12e-02 7.58e-02  -1.8 1.07e+01    -  1.00e+00 1.00e+00h  1
 133  2.7275616e+01 8.94e-03 1.41e-01  -2.1 7.88e+00    -  7.96e-01 9.93e-01h  1
 134  2.6869972e+01 1.21e-02 2.20e-02  -2.1 1.01e+01    -  1.00e+00 1.00e+00h  1
 135  2.6761202e+01 1.06e-02 1.02e-01  -2.1 1.29e+01    -  1.00e+00 1.00e+00h  1
 136  2.6715636e+01 9.57e-03 4.67e-02  -2.1 8.18e+00    -  6.64e-01 1.00e+00h  1
 137  2.6703473e+01 2.66e-02 4.66e-02  -2.1 1.29e+01    -  6.88e-01 1.00e+00h  1
 138  2.6682480e+01 1.78e-02 2.25e-02  -2.1 1.30e+01    -  1.00e+00 1.00e+00h  1
 139  2.6666588e+01 5.46e-03 3.64e-02  -2.1 1.31e+01    -  1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  2.6000912e+01 4.77e-03 1.51e-02  -2.3 6.02e+00    -  1.00e+00 9.99e-01h  1
 141  2.6074716e+01 1.19e-02 1.66e-02  -2.1 3.62e+01    -  8.80e-02 1.02e-01h  1
 142  2.6598339e+01 1.73e-03 1.59e-01  -2.0 1.78e+00  -2.0 1.00e+00 1.00e+00h  1
 143  2.6120103e+01 1.23e-03 2.67e-02  -2.3 4.78e-01  -2.5 9.93e-01 1.00e+00h  1
 144  2.5672088e+01 1.03e-03 3.11e-02  -3.0 4.48e-01  -1.2 1.00e+00 1.00e+00f  1
 145  2.5497541e+01 1.24e-03 3.69e-02  -3.7 2.05e-01  -0.7 9.59e-01 8.51e-01h  1
 146  2.5416295e+01 8.46e-04 5.32e-02  -3.8 2.65e-01  -1.2 9.89e-01 4.32e-01h  1
 147  2.5354560e+01 4.39e-04 2.72e-02  -4.6 1.38e-01  -0.8 9.99e-01 7.43e-01h  1
 148  2.5347521e+01 3.33e-04 3.14e-02  -5.5 5.56e-02  -0.4 1.00e+00 2.43e-01h  1
 149  2.5319100e+01 2.24e-04 2.17e-02  -6.2 1.57e-01  -0.8 1.00e+00 4.97e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
